Category,Index,0,1,2,3,4,5,6,7,8,9
Bins,"[0.0, 0.01]",0.0,0.0,0.0,0.0010000000000000013,0.0025000000000000053,0.0002,0.0,0.002760000000000006,0.0006000000000000003,0.0
Bins,"[0.01, 0.02]",0.00044,0.00016,0.0002,0.016739999999999654,0.014119999999999761,0.0029000000000000063,0.0,0.01909999999999956,0.0026200000000000056,0.0
Bins,"[0.02, 0.03]",0.004180000000000009,0.0019200000000000037,0.0015000000000000026,0.03169999999999905,0.020619999999999496,0.006300000000000015,0.0,0.03353999999999897,0.005280000000000012,0.0005800000000000002
Bins,"[0.03, 0.04]",0.009379999999999954,0.00446000000000001,0.002420000000000005,0.03653999999999885,0.024879999999999323,0.013559999999999784,0.0,0.03561999999999889,0.010739999999999899,0.006020000000000014
Bins,"[0.04, 0.05]",0.015499999999999705,0.008140000000000005,0.004740000000000011,0.03823999999999878,0.02711999999999923,0.021959999999999442,0.0038200000000000087,0.03343999999999898,0.01981999999999953,0.017779999999999612
Bins,"[0.05, 0.06]",0.02125999999999947,0.018419999999999586,0.005840000000000014,0.0354199999999989,0.029999999999999114,0.034259999999998944,0.02173999999999945,0.03631999999999886,0.03711999999999883,0.04491999999999851
Bins,"[0.06, 0.07]",0.02569999999999929,0.03805999999999879,0.01095999999999989,0.03367999999999897,0.03191999999999904,0.03359999999999897,0.03933999999999874,0.03389999999999896,0.061019999999997854,0.04717999999999842
Bins,"[0.07, 0.08]",0.029739999999999125,0.06377999999999819,0.014299999999999754,0.030979999999999074,0.03255999999999901,0.03579999999999888,0.04537999999999849,0.03235999999999902,0.05219999999999821,0.04191999999999863
Bins,"[0.08, 0.09]",0.032879999999999,0.05151999999999824,0.02075999999999949,0.02963999999999913,0.032019999999999035,0.03579999999999888,0.04779999999999839,0.02981999999999912,0.039879999999998715,0.038179999999998784
Bins,"[0.09, 0.1]",0.036219999999998864,0.04385999999999855,0.03139999999999906,0.02809999999999919,0.03079999999999908,0.03681999999999884,0.042559999999998606,0.02837999999999918,0.03501999999999891,0.03587999999999888
Bins,"[0.1, 0.11]",0.03831999999999878,0.037639999999998806,0.0377199999999988,0.026279999999999266,0.029179999999999148,0.03613999999999887,0.037679999999998805,0.027079999999999233,0.03387999999999896,0.03485999999999892
Bins,"[0.11, 0.12]",0.04115999999999866,0.033739999999998965,0.040619999999998685,0.02643999999999926,0.02741999999999922,0.03235999999999902,0.036439999999998855,0.026559999999999254,0.03087999999999908,0.03079999999999908
Bins,"[0.12, 0.13]",0.04051999999999869,0.029919999999999117,0.03973999999999872,0.025499999999999298,0.02719999999999923,0.03217999999999903,0.03365999999999897,0.02515999999999931,0.02939999999999914,0.031319999999999064
Bins,"[0.13, 0.14]",0.03577999999999888,0.029699999999999126,0.03799999999999879,0.022299999999999428,0.0254599999999993,0.028539999999999174,0.030419999999999097,0.02245999999999942,0.02615999999999927,0.027959999999999197
Bins,"[0.14, 0.15]",0.033279999999998984,0.028539999999999174,0.0377599999999988,0.022899999999999403,0.02571999999999929,0.02765999999999921,0.029459999999999136,0.02197999999999944,0.024299999999999346,0.02617999999999927
Bins,"[0.15, 0.16]",0.0303799999999991,0.027819999999999203,0.03369999999999897,0.021819999999999447,0.022819999999999407,0.028079999999999192,0.028239999999999186,0.022339999999999426,0.023319999999999386,0.025879999999999282
Bins,"[0.16, 0.17]",0.02863999999999917,0.025139999999999312,0.034499999999998934,0.02099999999999948,0.023319999999999386,0.025819999999999284,0.027059999999999234,0.02177999999999945,0.022439999999999422,0.02519999999999931
Bins,"[0.17, 0.18]",0.025119999999999313,0.022939999999999402,0.03245999999999902,0.021079999999999478,0.022859999999999405,0.025139999999999312,0.02469999999999933,0.01877999999999957,0.022579999999999417,0.023659999999999373
Bins,"[0.18, 0.19]",0.025099999999999314,0.022639999999999414,0.03137999999999906,0.020119999999999517,0.021099999999999477,0.023159999999999393,0.02343999999999938,0.020219999999999513,0.019699999999999534,0.022599999999999416
Bins,"[0.19, 0.2]",0.024379999999999343,0.022859999999999405,0.029699999999999126,0.018919999999999566,0.020479999999999502,0.022419999999999423,0.022859999999999405,0.018159999999999597,0.020599999999999497,0.021399999999999465
Bins,"[0.2, 0.21]",0.0230199999999994,0.0205599999999995,0.029239999999999145,0.018239999999999593,0.020139999999999516,0.02147999999999946,0.02321999999999939,0.01883999999999957,0.018979999999999563,0.020339999999999508
Bins,"[0.21, 0.22]",0.022099999999999436,0.01927999999999955,0.026799999999999245,0.01831999999999959,0.019179999999999555,0.01975999999999953,0.02175999999999945,0.01855999999999958,0.01755999999999962,0.01833999999999959
Bins,"[0.22, 0.23]",0.019939999999999524,0.017739999999999614,0.024639999999999333,0.017479999999999624,0.018759999999999572,0.019219999999999553,0.020339999999999508,0.016479999999999665,0.01733999999999963,0.019599999999999538
