Category,Index,0,1,2,3
Bins,"[0.0, 0.01]",0.0030400000000000067,0.0,0.0,0.00046
Bins,"[0.01, 0.02]",0.012299999999999835,0.0,0.0002,0.003560000000000008
Bins,"[0.02, 0.03]",0.024379999999999343,0.00036,0.0014200000000000024,0.009299999999999958
Bins,"[0.03, 0.04]",0.03871999999999876,0.00456000000000001,0.0028800000000000063,0.015079999999999722
Bins,"[0.04, 0.05]",0.041339999999998656,0.011839999999999854,0.004920000000000011,0.01955999999999954
Bins,"[0.05, 0.06]",0.03723999999999882,0.024859999999999324,0.009399999999999954,0.023559999999999377
Bins,"[0.06, 0.07]",0.035719999999998885,0.031299999999999065,0.01707999999999964,0.027699999999999208
Bins,"[0.07, 0.08]",0.032959999999999,0.03087999999999908,0.021359999999999466,0.03197999999999904
Bins,"[0.08, 0.09]",0.028959999999999157,0.03111999999999907,0.027459999999999218,0.032299999999999024
Bins,"[0.09, 0.1]",0.02911999999999915,0.03269999999999901,0.03265999999999901,0.03343999999999898
Bins,"[0.1, 0.11]",0.02711999999999923,0.03261999999999901,0.0353199999999989,0.03257999999999901
Bins,"[0.11, 0.12]",0.0254799999999993,0.03211999999999903,0.03923999999999874,0.03269999999999901
Bins,"[0.12, 0.13]",0.02521999999999931,0.03209999999999903,0.039179999999998744,0.030679999999999086
Bins,"[0.13, 0.14]",0.022599999999999416,0.032799999999999004,0.039639999999998725,0.03163999999999905
Bins,"[0.14, 0.15]",0.02277999999999941,0.03263999999999901,0.03849999999999877,0.03057999999999909
Bins,"[0.15, 0.16]",0.02273999999999941,0.031259999999999066,0.04057999999999869,0.028039999999999194
Bins,"[0.16, 0.17]",0.020819999999999488,0.032499999999999016,0.03551999999999889,0.028019999999999195
Bins,"[0.17, 0.18]",0.019959999999999523,0.02839999999999918,0.03345999999999898,0.02643999999999926
Bins,"[0.18, 0.19]",0.01999999999999952,0.02815999999999919,0.030159999999999108,0.02449999999999934
Bins,"[0.19, 0.2]",0.018699999999999575,0.025579999999999294,0.02863999999999917,0.023339999999999386
Bins,"[0.2, 0.21]",0.017779999999999612,0.025359999999999303,0.02669999999999925,0.022599999999999416
Bins,"[0.21, 0.22]",0.016939999999999646,0.0229999999999994,0.025119999999999313,0.02275999999999941
Bins,"[0.22, 0.23]",0.017179999999999637,0.022919999999999403,0.022839999999999406,0.019939999999999524
Bins,"[0.23, 0.24]",0.016939999999999646,0.022359999999999425,0.023339999999999386,0.021339999999999467
Bins,"[0.24, 0.25]",0.016699999999999656,0.0205399999999995,0.021139999999999475,0.01909999999999956
Bins,"[0.25, 0.26]",0.015579999999999702,0.021639999999999455,0.020579999999999498,0.018899999999999566
Bins,"[0.26, 0.27]",0.014479999999999747,0.020099999999999518,0.020459999999999503,0.01855999999999958
Bins,"[0.27, 0.28]",0.014419999999999749,0.017199999999999636,0.019259999999999552,0.016459999999999666
Bins,"[0.28, 0.29]",0.014199999999999758,0.017399999999999628,0.017999999999999603,0.016779999999999653
